Billing Cycle,Enterprise Project,Enterprise Project ID,Account Name,Service Type Code,Service Type,Resource Type Code,Resource Type,Product ID,Billing Mode,Bill Type,Resource ID,Resource Name,Resource Tag,SKU Code,Resource Specifications,Region Code,Region,AZ,Usage Type Code,Usage Type,Unit Price (USD),Unit,Usage,Usage Unit,Package Usage,Usage Type in Reserved Instances,List Price (USD),Discount (USD),Amount (USD),Cash Payment (USD),Credit Payment (USD),Cash Coupon Used (USD),Arrears (USD),Written Off (USD)
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.obs","Object Storage Service","hws.resource.type.obs","Cloud Storage","00301-27170-0--0","Pay-per-Use","Expenditure-use","image-lists","","",--,"Object Storage Service","cn-south-1","CN South-Guangzhou",--,"size","Capacity","0.00002100","Dollar/1GB","4210827632640","Byte",--,"0","0.08061120","0.03224880","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.obs","Object Storage Service","hws.resource.type.obs","Cloud Storage","00301-36685-0--0-4730","Pay-per-Use","Expenditure-use","vgm-cts-bkk","","",--,"Object Storage Service","ap-southeast-2","AP-Bangkok",--,"download.internal","Download_Standard Storage.Internal","0.00000000","Dollar/1GB","18312","Byte",--,"0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.smn","Simple Message Notification","hws.resource.type.smn","Simple Message Notification","00301-06001-0--0","Pay-per-Use","Expenditure-use","69dce6b17adb41fe8d84269f17e1e0eb","ECS_Security_by_HSS","",--,"SMN","ap-southeast-1","AP-Hong Kong",--,"downflow","Downstream bandwidth","0.00000000","Dollar/1GB","379066","Byte",--,"0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.obs","Object Storage Service","hws.resource.type.obs","Cloud Storage","00301-06018-0--0-ae9e","Pay-per-Use","Expenditure-use","eac-db-backup","","Name:EAC;",--,"Object Storage Service","ap-southeast-1","AP-Hong Kong",--,"upload.external","Upload_Standard Storage.External","0.00000000","Dollar/1GB","78331332935","Byte",--,"0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","default","0","VanguardMyanmar","hws.service.type.cbr","Cloud Backup and Recovery","hws.resource.type.cbr.vault","Vault","00301-102373-0--0","Pay-per-Use","Expenditure-use","34eeae04-8e47-4fa9-9d69-bf2c667ea273","EABC_SRV_Monthly","","vault.backup.server.normal","Cloud Server Backup Vault|40GB","ap-southeast-2","AP-Bangkok",--,"duration","Duration","0.00005000","Dollar/1Hour","1296000","Second",--,"0","0.72000000","0.28800000","0.30","0.00","0.30","0.00","0.00","0.00"
"Jun 2020","default","0","VanguardMyanmar","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.bandwidth","Fixed Bandwidth","00301-34661-0--0","Pay-per-Use","Expenditure-use","1668f727-3735-4f66-8868-c20670aa5337","S4APP_EIP","","12_bgp","Dynamic BGP|traffic","ap-southeast-2","AP-Bangkok",--,"upflow","Upstream bandwidth","0.10800000","Dollar/1GB","1936423520","Byte",--,"0","0.19477092","0.06816985","0.07","0.00","0.07","0.00","0.00","0.00"
"Jun 2020","default","0","VanguardMyanmar","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.bandwidth","Fixed Bandwidth","00301-01073-0--0","Pay-per-Use","Expenditure-use","e89a99c5-ae20-4bda-b57e-15759f4cb654","KSH_SAC","","12_bgp","Dynamic BGP|traffic","ap-southeast-1","AP-Hong Kong",--,"upflow","Upstream bandwidth","0.15300000","Dollar/1GB","117440940","Byte",--,"0","0.01673205","0.00585698","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.obs","Object Storage Service","hws.resource.type.obs","Cloud Storage","00301-36685-0--0","Pay-per-Use","Expenditure-use","vgm-fos","","",--,"Object Storage Service","ap-southeast-2","AP-Bangkok",--,"put","Put_Standard Storage","0.00500000","Dollar/1,000PCS","0","PCS","2","0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","default","0","VanguardMyanmar","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.bandwidth","Fixed Bandwidth","00301-01073-0--0","Pay-per-Use","Expenditure-use","795dca4e-33a3-444a-9ba7-834e816953ba","CCC_SERVICES","","12_bgp","Dynamic BGP|traffic","ap-southeast-1","AP-Hong Kong",--,"upflow","Upstream bandwidth","0.15300000","Dollar/1GB","32811960","Byte",--,"0","0.00467203","0.00163660","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.smn","Simple Message Notification","hws.resource.type.smn","Simple Message Notification","00301-06001-0--0","Pay-per-Use","Expenditure-use","c84e8a76c460473587c023061d12d6fb","Win_Data_Disk_75","",--,"SMN","ap-southeast-1","AP-Hong Kong",--,"downflow","Downstream bandwidth","0.00000000","Dollar/1GB","2768470","Byte",--,"0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","default","0","VanguardMyanmar","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.ip","Elastic IP Address","00301-01072-0--0","Pay-per-Use","Expenditure-use","8b698eb4-b620-468a-842d-f2c8f7f4be37","119.8.104.145","","5_bgp","Dynamic BGP Elastic IP","ap-southeast-1","AP-Hong Kong",--,"duration","Duration","0.00900000","Dollar/1Hour","129","Second",--,"0","0.00032250","0.00011288","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.smn","Simple Message Notification","hws.resource.type.smn","Simple Message Notification","00301-06001-0--0","Pay-per-Use","Expenditure-use","bd9ceab42b6941d497e188829844e898","CPU_Usage_90","",--,"SMN","ap-southeast-1","AP-Hong Kong",--,"email","Email","0.00000000","Dollar/1Number","340","Number",--,"0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
